readmission_reduction_id,provider_id,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
J10852,17006,READM-30-HF-HRRP,426,,0.8709,20.1,23.1,78,7/1/09,6/30/12
J10853,170074,READM-30-PN-HRRP,306,,0.8117,13.2,16.2,29,7/1/09,6/30/12
J10854,170075,READM-30-AMI-HRRP,294,,0.9575,16.3,17.1,46,7/1/09,6/30/12
J10855,170086,READM-30-HF-HRRP,626,,1.0616,24.1,22.7,154,7/1/09,6/30/12
J10856,17008,READM-30-PN-HRRP,341,,1.0695,18.5,17.3,67,7/1/09,6/30/12
J10857,170094,READM-30-AMI-HRRP,50,,0.9627,15.5,16.1,0,7/1/09,6/30/12
J10858,170103,READM-30-HF-HRRP,115,,0.9966,20.2,20.2,23,7/1/09,6/30/12
J10859,170104,READM-30-PN-HRRP,120,,0.9639,15.9,16.5,17,7/1/09,6/30/12
J1086,170105,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10860,170109,READM-30-AMI-HRRP,115,,0.9827,16.3,16.6,18,7/1/09,6/30/12
J10861,170110,READM-30-HF-HRRP,352,,1.0462,23.2,22.1,84,7/1/09,6/30/12
J10862,170120,READM-30-PN-HRRP,214,,0.999,15.9,15.9,34,7/1/09,6/30/12
J10863,170122,READM-30-AMI-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10864,170123,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10865,170133,READM-30-PN-HRRP,34,,0.9584,12.4,13,0,7/1/09,6/30/12
J10866,170137,READM-30-AMI-HRRP,50,,1.03,21.1,20.5,12,7/1/09,6/30/12
J10867,170142,READM-30-HF-HRRP,332,,0.9943,21.5,21.6,71,7/1/09,6/30/12
J10868,170145,READM-30-PN-HRRP,297,,1.0786,18.4,17.1,59,7/1/09,6/30/12
J10869,170146,READM-30-AMI-HRRP,55,,0.9438,17.7,18.7,0,7/1/09,6/30/12
J1087,170150,READM-30-HF-HRRP,248,,0.9453,21.8,23.1,51,7/1/09,6/30/12
J10870,170166,READM-30-HF-HRRP,266,,0.9852,21.7,22.1,57,7/1/09,6/30/12
J10871,170175,READM-30-PN-HRRP,289,,1.0171,17.3,17,51,7/1/09,6/30/12
J10872,170176,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10873,170182,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10874,170183,READM-30-PN-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10875,170185,READM-30-AMI-HRRP,376,,1.0039,19.1,19,72,7/1/09,6/30/12
J10876,170186,READM-30-HF-HRRP,392,,1.1161,27.2,24.4,113,7/1/09,6/30/12
J10877,170187,READM-30-PN-HRRP,364,,1.1329,24,21.2,95,7/1/09,6/30/12
J10878,170188,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10879,170190,READM-30-HF-HRRP,209,,0.9997,23.5,23.5,49,7/1/09,6/30/12
J1088,170191,READM-30-PN-HRRP,331,,0.9377,16.5,17.6,51,7/1/09,6/30/12
J10880,170194,READM-30-PN-HRRP,480,,1.0677,19.4,18.2,97,7/1/09,6/30/12
J10881,170196,READM-30-AMI-HRRP,290,,0.9931,18.7,18.9,54,7/1/09,6/30/12
J10882,170197,READM-30-HF-HRRP,509,,1.0442,25.1,24,130,7/1/09,6/30/12
J10883,170198,READM-30-PN-HRRP,687,,1.002,17.3,17.3,119,7/1/09,6/30/12
J10884,170199,READM-30-AMI-HRRP,610,,1.0049,17,16.9,104,7/1/09,6/30/12
J10885,170200,READM-30-HF-HRRP,810,,0.9014,21.1,23.4,165,7/1/09,6/30/12
J10886,170203,READM-30-PN-HRRP,760,,1.0095,18.1,17.9,138,7/1/09,6/30/12
J10887,171300,READM-30-AMI-HRRP,121,,0.9418,17.2,18.3,18,7/1/09,6/30/12
J10888,171301,READM-30-HF-HRRP,310,,1.033,23,22.2,73,7/1/09,6/30/12
J10889,171302,READM-30-PN-HRRP,337,,0.9855,16.9,17.1,56,7/1/09,6/30/12
J1089,171304,READM-30-AMI-HRRP,310,,0.9275,14,15.1,40,7/1/09,6/30/12
J10890,171306,READM-30-AMI-HRRP,25,,1.0181,20.5,20.2,0,7/1/09,6/30/12
J10891,171307,READM-30-HF-HRRP,162,,1.0519,24.2,23,42,7/1/09,6/30/12
J10892,171308,READM-30-PN-HRRP,219,,1.0235,18.1,17.7,41,7/1/09,6/30/12
J10893,171310,READM-30-AMI-HRRP,45,,1.0302,21.2,20.6,11,7/1/09,6/30/12
J10894,171312,READM-30-HF-HRRP,170,,0.9517,21.6,22.7,34,7/1/09,6/30/12
J10895,171313,READM-30-PN-HRRP,157,,1.0264,17.5,17.1,29,7/1/09,6/30/12
J10896,171314,READM-30-AMI-HRRP,1213,,1.0641,19.2,18.1,236,7/1/09,6/30/12
J10897,171315,READM-30-HF-HRRP,1100,,0.9195,22.3,24.3,241,7/1/09,6/30/12
J10898,171316,READM-30-PN-HRRP,912,,1.0868,21,19.3,196,7/1/09,6/30/12
J10899,171317,READM-30-AMI-HRRP,56,,1.0273,17.4,16.9,11,7/1/09,6/30/12
J1090,171318,READM-30-HF-HRRP,652,,0.8248,17.7,21.4,105,7/1/09,6/30/12
J10900,171319,READM-30-HF-HRRP,297,,1.0626,24.8,23.3,77,7/1/09,6/30/12
J10901,171320,READM-30-PN-HRRP,448,,0.9725,17.8,18.3,78,7/1/09,6/30/12
J10902,171321,READM-30-AMI-HRRP,375,,1.0047,16.2,16.1,61,7/1/09,6/30/12
J10903,171322,READM-30-HF-HRRP,439,,1.0274,22.2,21.6,99,7/1/09,6/30/12
J10904,171323,READM-30-PN-HRRP,214,,1.0304,17.4,16.9,39,7/1/09,6/30/12
J10905,171324,READM-30-AMI-HRRP,125,,0.9618,19.1,19.9,22,7/1/09,6/30/12
J10906,171325,READM-30-HF-HRRP,396,,0.9945,23.8,23.9,94,7/1/09,6/30/12
J10907,171327,READM-30-PN-HRRP,527,,0.9506,18,18.9,92,7/1/09,6/30/12
J10908,171328,READM-30-AMI-HRRP,52,,0.909,18.3,20.1,0,7/1/09,6/30/12
