readmission_reduction_id,provider_id,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
J10091,100124,READM-30-PN-HRRP,50,,0.9543,15.1,15.8,0,7/1/09,6/30/12
J10092,100125,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10093,100126,READM-30-HF-HRRP,77,,1.1117,22.4,20.2,23,7/1/09,6/30/12
J10094,100127,READM-30-PN-HRRP,193,,0.9219,14.2,15.4,23,7/1/09,6/30/12
J10095,100128,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10096,100130,READM-30-HF-HRRP,59,,0.9864,21.6,21.9,12,7/1/09,6/30/12
J10097,100131,READM-30-PN-HRRP,78,,0.9446,15.5,16.4,0,7/1/09,6/30/12
J10098,100132,READM-30-AMI-HRRP,89,,0.9387,15.6,16.6,11,7/1/09,6/30/12
J10099,100134,READM-30-HF-HRRP,342,,1.0113,22.6,22.4,78,7/1/09,6/30/12
J1010,100135,READM-30-PN-HRRP,157,,0.9319,14.5,15.6,19,7/1/09,6/30/12
J10100,100137,READM-30-PN-HRRP,362,,1.1213,18.9,16.9,75,7/1/09,6/30/12
J10101,100140,READM-30-AMI-HRRP,88,,0.949,15.2,16,11,7/1/09,6/30/12
J10102,100142,READM-30-HF-HRRP,330,,0.9531,22.6,23.7,72,7/1/09,6/30/12
J10103,100150,READM-30-PN-HRRP,230,,1.002,17.8,17.7,41,7/1/09,6/30/12
J10104,100151,READM-30-AMI-HRRP,103,,0.9953,16.7,16.8,17,7/1/09,6/30/12
J10105,100154,READM-30-HF-HRRP,212,,0.9736,23.4,24,48,7/1/09,6/30/12
J10106,100156,READM-30-PN-HRRP,187,,0.9835,18.2,18.5,33,7/1/09,6/30/12
J10107,100157,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10108,10016,READM-30-HF-HRRP,64,,0.9219,19.2,20.9,0,7/1/09,6/30/12
J10109,100161,READM-30-PN-HRRP,178,,1.1318,18,15.9,39,7/1/09,6/30/12
J1011,100166,READM-30-AMI-HRRP,245,,1.1124,19.6,17.6,53,7/1/09,6/30/12
J10110,100167,READM-30-AMI-HRRP,180,,1.0867,16.2,15,33,7/1/09,6/30/12
J10111,100168,READM-30-HF-HRRP,259,,0.7956,17,21.4,32,7/1/09,6/30/12
J10112,100173,READM-30-PN-HRRP,289,,0.9537,16.5,17.3,45,7/1/09,6/30/12
J10113,100175,READM-30-AMI-HRRP,136,,1.0497,17.5,16.6,26,7/1/09,6/30/12
J10114,100176,READM-30-HF-HRRP,381,,0.9098,20.8,22.8,74,7/1/09,6/30/12
J10115,100177,READM-30-PN-HRRP,412,,0.9797,16.3,16.6,66,7/1/09,6/30/12
J10116,100179,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10117,10018,READM-30-HF-HRRP,107,,1.1096,24.5,22.1,32,7/1/09,6/30/12
J10118,100180,READM-30-PN-HRRP,139,,1.0765,17.2,16,28,7/1/09,6/30/12
J10119,100181,READM-30-AMI-HRRP,381,,1.0487,17.5,16.7,69,7/1/09,6/30/12
J1012,100183,READM-30-HF-HRRP,323,,1.0565,24.1,22.8,81,7/1/09,6/30/12
J10120,100187,READM-30-HF-HRRP,454,,0.8649,18.4,21.3,76,7/1/09,6/30/12
J10121,100189,READM-30-PN-HRRP,466,,0.8764,14.4,16.5,60,7/1/09,6/30/12
J10122,10019,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10123,100191,READM-30-HF-HRRP,89,,0.9231,21.8,23.6,15,7/1/09,6/30/12
J10124,100200,READM-30-PN-HRRP,214,,0.8843,15.8,17.9,27,7/1/09,6/30/12
J10125,100204,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10126,100206,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10127,100209,READM-30-PN-HRRP,26,,0.9886,13.9,14,0,7/1/09,6/30/12
J10128,10021,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10129,100211,READM-30-HF-HRRP,221,,1.0822,22.9,21.2,55,7/1/09,6/30/12
J1013,100212,READM-30-PN-HRRP,326,,0.9803,16.9,17.2,54,7/1/09,6/30/12
J10130,100213,READM-30-PN-HRRP,141,,1.0959,17.7,16.1,30,7/1/09,6/30/12
J10131,100217,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10132,10022,READM-30-HF-HRRP,40,,0.9716,21.4,22.1,0,7/1/09,6/30/12
J10133,100220,READM-30-PN-HRRP,65,,0.9141,15.2,16.7,0,7/1/09,6/30/12
J10134,100223,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10135,100224,READM-30-HF-HRRP,45,,0.9538,23.7,24.8,0,7/1/09,6/30/12
J10136,100226,READM-30-PN-HRRP,128,,1.0291,19,18.5,26,7/1/09,6/30/12
J10137,100228,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10138,10023,READM-30-HF-HRRP,183,,0.9619,21.9,22.8,38,7/1/09,6/30/12
J10139,100230,READM-30-PN-HRRP,378,,0.9327,16.4,17.6,58,7/1/09,6/30/12
J1014,100231,READM-30-AMI-HRRP,188,,1.0519,16.3,15.5,33,7/1/09,6/30/12
J10140,100232,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10141,100234,READM-30-HF-HRRP,131,,0.9167,21.2,23.1,23,7/1/09,6/30/12
J10142,100236,READM-30-PN-HRRP,122,,0.9125,15.7,17.2,14,7/1/09,6/30/12
J10143,100238,READM-30-AMI-HRRP,48,,1.0096,13.7,13.6,0,7/1/09,6/30/12
J10144,100239,READM-30-HF-HRRP,153,,0.9428,19.7,20.9,27,7/1/09,6/30/12
J10145,10024,READM-30-PN-HRRP,156,,0.8714,13.8,15.8,14,7/1/09,6/30/12
J10146,100240,READM-30-AMI-HRRP,28,,1.0244,24.2,23.6,0,7/1/09,6/30/12
J10147,100242,READM-30-HF-HRRP,167,,1.0679,23,21.5,42,7/1/09,6/30/12
J10148,100243,READM-30-PN-HRRP,217,,0.9718,17.3,17.8,36,7/1/09,6/30/12
J10149,100244,READM-30-AMI-HRRP,33,,0.9227,17.4,18.9,0,7/1/09,6/30/12
J1015,100246,READM-30-HF-HRRP,400,,1.0863,23.1,21.3,97,7/1/09,6/30/12
J10150,100248,READM-30-HF-HRRP,159,,0.9001,18.6,20.7,24,7/1/09,6/30/12
J10151,100249,READM-30-PN-HRRP,280,,0.8887,13.3,15,31,7/1/09,6/30/12
J10152,10025,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10153,100252,READM-30-HF-HRRP,93,,0.8802,19.1,21.8,11,7/1/09,6/30/12
J10154,100253,READM-30-PN-HRRP,89,,0.9263,13.6,14.7,0,7/1/09,6/30/12
J10155,100254,READM-30-AMI-HRRP,306,,0.8409,14.3,17.1,36,7/1/09,6/30/12
J10156,100255,READM-30-HF-HRRP,774,,0.847,18.5,21.8,134,7/1/09,6/30/12
J10157,100256,READM-30-PN-HRRP,534,,0.8215,14.2,17.3,65,7/1/09,6/30/12
J10158,100258,READM-30-AMI-HRRP,465,,0.9703,18.6,19.2,85,7/1/09,6/30/12
J10159,100259,READM-30-HF-HRRP,902,,0.9953,24,24.1,216,7/1/09,6/30/12
J1016,100260,READM-30-PN-HRRP,346,,1.0966,18.4,16.8,69,7/1/09,6/30/12
J10160,100264,READM-30-PN-HRRP,658,,1.0107,18.6,18.4,123,7/1/09,6/30/12
J10161,100265,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10162,100266,READM-30-HF-HRRP,84,,1.0666,22,20.6,22,7/1/09,6/30/12
J10163,100267,READM-30-PN-HRRP,109,,1.1787,19,16.1,30,7/1/09,6/30/12
J10164,100268,READM-30-AMI-HRRP,245,,0.9729,16,16.5,38,7/1/09,6/30/12
J10165,100269,READM-30-HF-HRRP,352,,1.0514,25,23.8,91,7/1/09,6/30/12
J10166,100271,READM-30-PN-HRRP,489,,1.0344,19.4,18.8,97,7/1/09,6/30/12
J10167,100275,READM-30-AMI-HRRP,244,,0.9798,19.7,20.1,47,7/1/09,6/30/12
J10168,100276,READM-30-HF-HRRP,527,,0.9443,22.2,23.5,114,7/1/09,6/30/12
J10169,100277,READM-30-PN-HRRP,313,,0.9215,16.5,17.9,47,7/1/09,6/30/12
J1017,100281,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10170,100284,READM-30-AMI-HRRP,180,,1.0414,17.8,17.1,34,7/1/09,6/30/12
J10171,100285,READM-30-HF-HRRP,483,,1.0148,23,22.7,112,7/1/09,6/30/12
J10172,100286,READM-30-PN-HRRP,436,,0.9276,15.9,17.1,65,7/1/09,6/30/12
J10173,100287,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10174,100288,READM-30-HF-HRRP,60,,0.9389,18.8,20.1,0,7/1/09,6/30/12
J10175,100289,READM-30-PN-HRRP,139,,0.9051,14.7,16.3,15,7/1/09,6/30/12
J10176,10029,READM-30-AMI-HRRP,42,,0.9636,15.9,16.5,0,7/1/09,6/30/12
J10177,100290,READM-30-HF-HRRP,379,,1.0937,24,22,96,7/1/09,6/30/12
J10178,100291,READM-30-PN-HRRP,200,,0.9882,17.3,17.5,34,7/1/09,6/30/12
J10179,100292,READM-30-AMI-HRRP,91,,0.9449,17.3,18.3,13,7/1/09,6/30/12
J1018,100296,READM-30-HF-HRRP,53,,0.9923,19.6,19.8,0,7/1/09,6/30/12
J10180,100299,READM-30-HF-HRRP,274,,0.9241,22,23.9,56,7/1/09,6/30/12
J10181,100302,READM-30-PN-HRRP,189,,0.9967,18.1,18.1,34,7/1/09,6/30/12
J10182,100307,READM-30-AMI-HRRP,154,,1.0093,17.3,17.1,27,7/1/09,6/30/12
J10183,100313,READM-30-HF-HRRP,546,,0.9328,22.1,23.7,117,7/1/09,6/30/12
J10184,100314,READM-30-PN-HRRP,338,,1.0313,18.7,18.1,65,7/1/09,6/30/12
J10185,100315,READM-30-AMI-HRRP,136,,1.0249,16.8,16.4,24,7/1/09,6/30/12
J10186,100316,READM-30-HF-HRRP,379,,1.1234,26.5,23.6,107,7/1/09,6/30/12
J10187,100319,READM-30-PN-HRRP,310,,1.0067,17.6,17.5,55,7/1/09,6/30/12
J10188,10032,READM-30-AMI-HRRP,29,,1.0079,19.4,19.2,0,7/1/09,6/30/12
J10189,10033,READM-30-HF-HRRP,156,,1.0932,23.8,21.7,42,7/1/09,6/30/12
J1019,10034,READM-30-PN-HRRP,169,,1,14.8,14.8,25,7/1/09,6/30/12
J10190,10035,READM-30-PN-HRRP,154,,0.9969,16.3,16.4,25,7/1/09,6/30/12
J10191,10036,READM-30-AMI-HRRP,55,,0.984,23.3,23.7,12,7/1/09,6/30/12
J10192,10038,READM-30-HF-HRRP,104,,1.0601,27.5,25.9,32,7/1/09,6/30/12
J10193,10039,READM-30-PN-HRRP,358,,1.084,19.9,18.4,76,7/1/09,6/30/12
J10194,10040,READM-30-AMI-HRRP,70,,1.0119,16.4,16.2,12,7/1/09,6/30/12
J10195,10044,READM-30-HF-HRRP,209,,1.1082,23.2,20.9,54,7/1/09,6/30/12
J10196,10045,READM-30-PN-HRRP,211,,0.9865,15.5,15.7,32,7/1/09,6/30/12
J10197,10046,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10198,10047,READM-30-HF-HRRP,89,,0.9881,20.9,21.2,18,7/1/09,6/30/12
J10199,10049,READM-30-PN-HRRP,95,,0.958,17.3,18,14,7/1/09,6/30/12
J1020,10051,READM-30-AMI-HRRP,226,,0.9837,16.3,16.5,36,7/1/09,6/30/12
J10200,10052,READM-30-AMI-HRRP,47,,0.9256,21,22.7,0,7/1/09,6/30/12
J10201,10054,READM-30-HF-HRRP,184,,0.9019,21,23.3,33,7/1/09,6/30/12
J10202,10055,READM-30-PN-HRRP,104,,0.9631,18.4,19.1,17,7/1/09,6/30/12
J10203,10056,READM-30-AMI-HRRP,104,,0.9447,15,15.8,13,7/1/09,6/30/12
J10204,10057,READM-30-HF-HRRP,186,,1.1045,22.4,20.3,47,7/1/09,6/30/12
J10205,10058,READM-30-PN-HRRP,143,,0.8923,14.1,15.8,14,7/1/09,6/30/12
J10206,10059,READM-30-AMI-HRRP,149,,0.9321,17.7,19,23,7/1/09,6/30/12
J10207,10061,READM-30-HF-HRRP,319,,1.1501,28.5,24.7,99,7/1/09,6/30/12
J10208,10062,READM-30-PN-HRRP,360,,0.9385,18.2,19.4,62,7/1/09,6/30/12
J10209,10063,READM-30-AMI-HRRP,141,,0.9067,16,17.6,18,7/1/09,6/30/12
J1021,10064,READM-30-HF-HRRP,324,,0.9553,19.9,20.8,62,7/1/09,6/30/12
J10210,10065,READM-30-HF-HRRP,423,,0.9055,19.9,22,79,7/1/09,6/30/12
J10211,10065,READM-30-PN-HRRP,381,,0.9948,17.1,17.2,65,7/1/09,6/30/12
J10212,10066,READM-30-AMI-HRRP,48,,1.1553,22.7,19.7,18,7/1/09,6/30/12
J10213,10069,READM-30-HF-HRRP,236,,1.1446,26,22.7,69,7/1/09,6/30/12
J10214,10073,READM-30-PN-HRRP,189,,1.0721,20.1,18.7,42,7/1/09,6/30/12
J10215,10078,READM-30-AMI-HRRP,155,,0.9664,18.5,19.1,27,7/1/09,6/30/12
J10216,10079,READM-30-HF-HRRP,516,,0.8915,22.2,24.9,108,7/1/09,6/30/12
J10217,10083,READM-30-PN-HRRP,571,,0.8666,17,19.6,89,7/1/09,6/30/12
J10218,10085,READM-30-AMI-HRRP,351,,1.0298,18.4,17.9,66,7/1/09,6/30/12
J10219,10086,READM-30-HF-HRRP,488,,0.9471,23.4,24.7,111,7/1/09,6/30/12
J1022,10087,READM-30-PN-HRRP,251,,0.9739,15.3,15.7,37,7/1/09,6/30/12
J10220,10089,READM-30-PN-HRRP,263,,1.025,20,19.5,54,7/1/09,6/30/12
J10221,10090,READM-30-AMI-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10222,10091,READM-30-HF-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10223,10092,READM-30-PN-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10224,10095,READM-30-AMI-HRRP,170,,1.0724,19.2,17.9,36,7/1/09,6/30/12
J10225,10097,READM-30-HF-HRRP,375,,1.0219,24.5,23.9,93,7/1/09,6/30/12
J10226,10099,READM-30-PN-HRRP,268,,1.0243,18.9,18.4,52,7/1/09,6/30/12
J10227,10100,READM-30-AMI-HRRP,201,,0.9008,16.9,18.8,29,7/1/09,6/30/12
J10228,10101,READM-30-HF-HRRP,448,,0.9638,22.8,23.6,100,7/1/09,6/30/12
J10229,10102,READM-30-PN-HRRP,321,,0.9849,17.7,18,56,7/1/09,6/30/12
J1023,10103,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10230,10104,READM-30-AMI-HRRP,118,,0.9988,17.8,17.9,21,7/1/09,6/30/12
J10231,10108,READM-30-HF-HRRP,371,,0.9535,19.8,20.8,71,7/1/09,6/30/12
J10232,10109,READM-30-PN-HRRP,304,,0.9766,16.6,16.9,49,7/1/09,6/30/12
J10233,10110,READM-30-AMI-HRRP,143,,0.9744,19.1,19.6,26,7/1/09,6/30/12
J10234,10112,READM-30-HF-HRRP,449,,1.0831,25.9,23.9,121,7/1/09,6/30/12
J10235,10113,READM-30-PN-HRRP,274,,0.8772,15.4,17.6,35,7/1/09,6/30/12
J10236,10114,READM-30-AMI-HRRP,211,,1.0873,19,17.4,44,7/1/09,6/30/12
J10237,10118,READM-30-HF-HRRP,456,,0.9729,21.8,22.4,98,7/1/09,6/30/12
J10238,10120,READM-30-PN-HRRP,369,,1.067,18.5,17.4,72,7/1/09,6/30/12
J10239,10125,READM-30-AMI-HRRP,118,,1.0302,17.5,16.9,22,7/1/09,6/30/12
J1024,10126,READM-30-HF-HRRP,30,,1.0012,19.8,19.8,0,7/1/09,6/30/12
J10240,10128,READM-30-HF-HRRP,284,,1.0981,25.2,23,77,7/1/09,6/30/12
J10241,10129,READM-30-PN-HRRP,85,,1.0436,18.3,17.5,18,7/1/09,6/30/12
J10242,10130,READM-30-AMI-HRRP,48,,0.9916,17.5,17.6,0,7/1/09,6/30/12
J10243,101300,READM-30-HF-HRRP,185,,0.9591,23.4,24.4,41,7/1/09,6/30/12
J10244,101301,READM-30-PN-HRRP,244,,0.9509,17.6,18.5,40,7/1/09,6/30/12
J10245,101302,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10246,101303,READM-30-HF-HRRP,101,,1.0578,25.6,24.2,29,7/1/09,6/30/12
J10247,101304,READM-30-PN-HRRP,126,,0.9027,17.3,19.2,16,7/1/09,6/30/12
J10248,101305,READM-30-AMI-HRRP,59,,0.9755,19,19.5,0,7/1/09,6/30/12
J10249,101307,READM-30-HF-HRRP,225,,0.9741,24.7,25.3,54,7/1/09,6/30/12
J1025,101308,READM-30-PN-HRRP,191,,0.9784,12.1,12.4,22,7/1/09,6/30/12
J10250,101309,READM-30-PN-HRRP,126,,0.9542,18,18.9,20,7/1/09,6/30/12
J10251,10131,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10252,101310,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10253,101311,READM-30-PN-HRRP,63,,0.9564,15,15.6,0,7/1/09,6/30/12
J10254,101312,READM-30-AMI-HRRP,86,,1.0391,17.7,17,17,7/1/09,6/30/12
J10255,101313,READM-30-HF-HRRP,201,,0.9887,22.7,23,45,7/1/09,6/30/12
J10256,10138,READM-30-PN-HRRP,197,,0.8953,15.3,17.1,24,7/1/09,6/30/12
J10257,10139,READM-30-AMI-HRRP,77,,1.0066,17.8,17.7,14,7/1/09,6/30/12
J10258,10144,READM-30-HF-HRRP,171,,1.0538,24.6,23.3,45,7/1/09,6/30/12
J10259,10146,READM-30-PN-HRRP,203,,1.0499,18.8,17.9,41,7/1/09,6/30/12
J1026,10148,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10260,10149,READM-30-AMI-HRRP,163,,1.0969,22.3,20.4,41,7/1/09,6/30/12
J10261,10150,READM-30-HF-HRRP,791,,0.9633,24,25,188,7/1/09,6/30/12
J10262,10157,READM-30-PN-HRRP,508,,0.8869,17.7,20,83,7/1/09,6/30/12
J10263,10158,READM-30-AMI-HRRP,365,,1.1098,18.7,16.8,73,7/1/09,6/30/12
J10264,10164,READM-30-HF-HRRP,675,,1.0171,24,23.6,163,7/1/09,6/30/12
J10265,10168,READM-30-PN-HRRP,477,,1.0467,18.5,17.7,91,7/1/09,6/30/12
J10266,10169,READM-30-AMI-HRRP,90,,0.9989,18.9,19,17,7/1/09,6/30/12
J10267,110001,READM-30-HF-HRRP,142,,0.9442,24.1,25.6,31,7/1/09,6/30/12
J10268,110002,READM-30-PN-HRRP,156,,0.9317,17.3,18.6,23,7/1/09,6/30/12
J10269,110003,READM-30-AMI-HRRP,181,,0.9943,15.6,15.7,28,7/1/09,6/30/12
J1027,110004,READM-30-HF-HRRP,63,,1.0509,21.2,20.2,16,7/1/09,6/30/12
J10270,110005,READM-30-HF-HRRP,268,,0.9115,20.5,22.5,50,7/1/09,6/30/12
J10271,110006,READM-30-PN-HRRP,261,,0.9402,16.7,17.7,40,7/1/09,6/30/12
J10272,110007,READM-30-AMI-HRRP,141,,1.0512,21.6,20.6,33,7/1/09,6/30/12
J10273,110008,READM-30-HF-HRRP,499,,0.8615,20.5,23.8,94,7/1/09,6/30/12
J10274,110010,READM-30-PN-HRRP,356,,0.8878,16.5,18.6,52,7/1/09,6/30/12
J10275,110011,READM-30-AMI-HRRP,61,,1.0073,20.7,20.6,13,7/1/09,6/30/12
J10276,110015,READM-30-HF-HRRP,186,,0.9816,23.1,23.6,42,7/1/09,6/30/12
J10277,110016,READM-30-PN-HRRP,149,,0.982,18.2,18.5,26,7/1/09,6/30/12
J10278,110018,READM-30-AMI-HRRP,53,,1.0171,21.1,20.7,12,7/1/09,6/30/12
J10279,110023,READM-30-HF-HRRP,189,,0.9801,21.7,22.2,40,7/1/09,6/30/12
J1028,110024,READM-30-PN-HRRP,198,,0.9633,13.6,14.2,25,7/1/09,6/30/12
J10280,110025,READM-30-PN-HRRP,251,,0.9936,17.3,17.4,43,7/1/09,6/30/12
J10281,110026,READM-30-AMI-HRRP,122,,1.1534,20.6,17.8,32,7/1/09,6/30/12
J10282,110027,READM-30-HF-HRRP,302,,0.8775,19.2,21.9,51,7/1/09,6/30/12
J10283,110028,READM-30-PN-HRRP,454,,0.9742,16.8,17.3,75,7/1/09,6/30/12
J10284,110029,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10285,110030,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10286,110031,READM-30-PN-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10287,110032,READM-30-AMI-HRRP,41,,0.98,19.4,19.8,0,7/1/09,6/30/12
J10288,110034,READM-30-HF-HRRP,142,,0.9389,20.7,22.1,26,7/1/09,6/30/12
J10289,110035,READM-30-PN-HRRP,288,,1.0344,17.1,16.5,51,7/1/09,6/30/12
J1029,110036,READM-30-AMI-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10290,110038,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10291,110039,READM-30-HF-HRRP,123,,0.9662,23.5,24.3,27,7/1/09,6/30/12
J10292,110040,READM-30-PN-HRRP,139,,0.9951,18.9,19,26,7/1/09,6/30/12
J10293,110041,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10294,110042,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10295,110043,READM-30-PN-HRRP,71,,1.0351,18.4,17.7,15,7/1/09,6/30/12
J10296,110044,READM-30-AMI-HRRP,30,,0.9368,20.7,22.1,0,7/1/09,6/30/12
J10297,110045,READM-30-HF-HRRP,179,,1.0752,23.5,21.8,46,7/1/09,6/30/12
J10298,110046,READM-30-PN-HRRP,268,,1.0411,18.2,17.5,51,7/1/09,6/30/12
J10299,110050,READM-30-AMI-HRRP,120,,0.8895,13.6,15.3,11,7/1/09,6/30/12
J1030,110051,READM-30-HF-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10300,110054,READM-30-HF-HRRP,245,,0.8473,17.4,20.6,34,7/1/09,6/30/12
J10301,110064,READM-30-PN-HRRP,292,,1.0432,16.3,15.7,50,7/1/09,6/30/12
J10302,110069,READM-30-AMI-HRRP,257,,1.0258,17.8,17.4,47,7/1/09,6/30/12
J10303,110071,READM-30-HF-HRRP,825,,1.0389,23.6,22.7,197,7/1/09,6/30/12
J10304,110073,READM-30-PN-HRRP,547,,1.0241,18,17.6,100,7/1/09,6/30/12
J10305,110074,READM-30-AMI-HRRP,94,,0.9562,16,16.7,13,7/1/09,6/30/12
J10306,110075,READM-30-HF-HRRP,156,,0.8543,18.9,22.1,21,7/1/09,6/30/12
J10307,110076,READM-30-PN-HRRP,145,,1.0172,16.6,16.3,25,7/1/09,6/30/12
J10308,110078,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10309,110079,READM-30-HF-HRRP,136,,0.9057,19.3,21.3,21,7/1/09,6/30/12
J1031,110082,READM-30-PN-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10310,110083,READM-30-PN-HRRP,135,,0.9317,14.7,15.8,16,7/1/09,6/30/12
J10311,110086,READM-30-AMI-HRRP,209,,0.9266,16,17.3,30,7/1/09,6/30/12
J10312,110087,READM-30-HF-HRRP,274,,0.9332,20.7,22.2,53,7/1/09,6/30/12
J10313,110089,READM-30-PN-HRRP,281,,0.8962,15.3,17.1,37,7/1/09,6/30/12
J10314,110091,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10315,110092,READM-30-HF-HRRP,88,,0.9535,21.1,22.2,16,7/1/09,6/30/12
J10316,110095,READM-30-PN-HRRP,121,,0.9623,16.7,17.3,18,7/1/09,6/30/12
J10317,110100,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10318,110101,READM-30-HF-HRRP,167,,0.9223,19.3,21,28,7/1/09,6/30/12
J10319,110104,READM-30-PN-HRRP,169,,0.9452,15.4,16.3,23,7/1/09,6/30/12
J1032,110105,READM-30-AMI-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10320,110107,READM-30-AMI-HRRP,139,,0.9747,15.2,15.6,20,7/1/09,6/30/12
J10321,110109,READM-30-HF-HRRP,562,,1.0218,21.5,21,122,7/1/09,6/30/12
J10322,110111,READM-30-PN-HRRP,374,,1.1037,18,16.4,73,7/1/09,6/30/12
J10323,110113,READM-30-AMI-HRRP,245,,0.9325,14.8,15.8,33,7/1/09,6/30/12
J10324,110115,READM-30-HF-HRRP,377,,0.8522,17.9,21,59,7/1/09,6/30/12
J10325,110121,READM-30-PN-HRRP,308,,0.9597,15,15.6,44,7/1/09,6/30/12
J10326,110122,READM-30-AMI-HRRP,29,,0.9472,19.3,20.4,0,7/1/09,6/30/12
J10327,110124,READM-30-HF-HRRP,203,,0.8866,18.9,21.3,32,7/1/09,6/30/12
J10328,110125,READM-30-PN-HRRP,326,,0.9333,15.6,16.7,47,7/1/09,6/30/12
J10329,110128,READM-30-AMI-HRRP,287,,0.7825,12.2,15.6,24,7/1/09,6/30/12
J1033,110129,READM-30-HF-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10330,110130,READM-30-HF-HRRP,643,,0.8468,19,22.4,113,7/1/09,6/30/12
J10331,110132,READM-30-PN-HRRP,345,,0.9481,17.4,18.3,57,7/1/09,6/30/12
J10332,110135,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10333,110142,READM-30-HF-HRRP,167,,0.9245,19.3,20.8,28,7/1/09,6/30/12
J10334,110143,READM-30-PN-HRRP,97,,0.9634,15.5,16.1,13,7/1/09,6/30/12
J10335,110146,READM-30-AMI-HRRP,59,,1.0076,19.7,19.6,12,7/1/09,6/30/12
J10336,110150,READM-30-HF-HRRP,95,,0.8704,18.2,20.9,0,7/1/09,6/30/12
J10337,110153,READM-30-PN-HRRP,110,,0.8967,14.5,16.2,0,7/1/09,6/30/12
J10338,110161,READM-30-AMI-HRRP,58,,0.9862,18.4,18.6,0,7/1/09,6/30/12
J10339,110164,READM-30-HF-HRRP,180,,0.7481,15.6,20.8,13,7/1/09,6/30/12
J1034,110165,READM-30-PN-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10340,110168,READM-30-PN-HRRP,169,,0.9231,13.8,14.9,19,7/1/09,6/30/12
J10341,110177,READM-30-AMI-HRRP,345,,0.8962,14.8,16.5,46,7/1/09,6/30/12
J10342,110183,READM-30-HF-HRRP,476,,1.0611,22.8,21.5,112,7/1/09,6/30/12
J10343,110184,READM-30-PN-HRRP,305,,1.0536,17.7,16.8,57,7/1/09,6/30/12
J10344,110186,READM-30-AMI-HRRP,52,,0.9416,19,20.1,0,7/1/09,6/30/12
J10345,110187,READM-30-HF-HRRP,151,,0.9064,19.4,21.4,24,7/1/09,6/30/12
J10346,110189,READM-30-PN-HRRP,136,,0.9165,16.1,17.5,17,7/1/09,6/30/12
J10347,110190,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10348,110191,READM-30-HF-HRRP,115,,0.9215,18.5,20.1,17,7/1/09,6/30/12
