daily_hazardous_air_pollutants_id,state_geocodes_id,state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,obervation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
dh100530,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,5/14/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100531,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,5/17/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100532,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,5/20/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100533,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,5/23/10,Micrograms/cubic meter (LC),None,1,100,0.001,0.001,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100534,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,5/26/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100535,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,5/29/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100536,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/1/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100537,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/4/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100538,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/7/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100539,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/10/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh10054,CC1096,4,1,8001,88112,1,34.058475,-109.441259,WGS84,Chromium PM2.5 LC,24 HOUR,NA,8/6/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",,Mount Baldy,Arizona,Apache,Not in a city,,6/29/13
dh100540,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/13/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100541,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/16/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
dh100542,CC1384,12,129,1,88136,2,30.0925,-84.161111,WGS84,Nickel PM2.5 LC,24 HOUR,NA,6/19/10,Micrograms/cubic meter (LC),None,1,100,0,0,0,NA,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,COUNTY RD 59,Florida,Wakulla,Saint Marks,"Tallahassee, FL",6/29/13
